ticker,price,시가총액,sector1,sector2,PER_E,FCF,부채비율,ROE_E,ROA_E,EPS_E,EPS_M,EV/EBITDA_E
020150,43250,1994293613750,전기전자,전자장비와기기,33.19,-680.0,22.58,-1.35,-1.09,-423.0,1101.3333333333333,20.52
079550,91900,2021800000000,기계,우주항공과국방,18.22,-2898.0,224.75,15.88,4.86,7222.0,2517.0,8.63
002380,228500,2030558623500,화학,건축자재,10.84,513.0,143.95,1.7,0.74,9959.0,13616.0,7.13
014680,181300,2055070853500,화학,화학,38.69,33.0,46.28,12.85,8.6,9083.0,10536.0,13.07
112610,52000,2192912956000,기계,에너지장비및서비스,60.09,180.0,100.76,7.05,3.68,1516.0,1106.6666666666667,12.15
139480,79200,2207764864800,유통업,백화점과일반상점,16.34,2095.0,150.45,-0.14,-0.14,-587.0,25906.0,6.82
282330,128900,2227895483400,유통업,백화점과일반상점,16.34,386.0,212.57,19.24,6.34,11444.0,8133.333333333333,3.83
012750,59700,2268550926600,서비스업,상업서비스와공급품,15.56,158.0,35.08,10.46,7.72,4291.0,3664.3333333333335,4.4
036460,24600,2270899800000,전기가스업,가스유틸리티,3.26,7371.0,440.34,2.09,0.36,2330.0,2951.6666666666665,12.8
028670,4260,2277266121120,운수창고업,해운사,6.1,781.0,64.07,6.97,4.25,609.0,495.0,4.86
023530,80700,2282902528500,유통업,백화점과일반상점,16.34,2653.0,182.15,2.07,0.66,7006.0,-23266.666666666668,7.27
010120,76100,2283000000000,전기전자,전기장비,16.66,46.0,118.96,13.04,6.16,7134.0,3042.0,4.93
030000,20350,2341088928750,서비스업,광고,10.77,749.0,114.61,16.94,7.85,1864.0,1335.3333333333333,4.74
000120,103500,2361077604000,운수창고업,항공화물운송과물류,6.81,2314.0,131.26,5.74,2.34,9279.0,3178.0,5.63
051915,308500,2371994800000,화학,화학,38.69,-15682.0,87.36,5.61,3.34,22948.0,19144.0,6.93
081660,39050,2372374269100,유통업,"섬유,의류,신발,호화품",8.37,2748.0,87.42,6.78,4.72,2141.0,3507.6666666666665,6.32
002790,28850,2378918493000,화학,화장품,66.38,-790.0,16.43,3.69,3.08,1302.0,1160.3333333333333,2.29
