,추정EPS(2023),EPS(3년 평균),EV/EVIBTA
017900,,-7.666666666666667,
037710,,5967.666666666667,
030610,,2193.0,
339770,725.0,1237.6666666666667,5.89
007690,2625.0,9409.666666666666,8.64
005320,,-22.0,
001140,,-3629.6666666666665,
002720,,-65.0,
083420,,442.6666666666667,
014530,,320.0,
014280,,83.66666666666667,
014285,,83.66666666666667,
008870,,2263.0,
001570,,-18.666666666666668,
002990,297.0,1684.3333333333333,5.24
002995,297.0,1684.3333333333333,5.24
011780,13276.0,28298.333333333332,5.0
011785,13276.0,28298.333333333332,5.0
214330,,-77.66666666666667,
001210,,-2111.6666666666665,
073240,381.0,-229.33333333333334,6.12
092440,,308.0,
000270,23432.0,6640.0,1.25
024110,3497.0,2476.6666666666665,
013700,,145.33333333333334,
004540,,304.3333333333333,
004545,,304.3333333333333,
001260,,1333.0,
008350,,201.0,
008355,,201.0,
004270,,-48.333333333333336,
003920,,-30652.0,
003925,,-30652.0,
025860,,421.0,
005720,,577.3333333333334,
005725,,577.3333333333334,
002350,1313.0,340.0,6.14
002355,1313.0,340.0,6.14
092790,,104.66666666666667,
251270,-980.0,2755.0,60.03
090350,,836.3333333333334,
090355,,836.3333333333334,
000320,890.0,498.3333333333333,2.24
000325,890.0,498.3333333333333,2.24
006280,-250.0,5722.333333333333,19.07
005250,,1542.3333333333333,
005257,,1542.3333333333333,
004370,31621.0,17500.0,5.24
072710,,11071.333333333334,
058730,,-180.0,
030210,,1424.0,
023590,,6218.666666666667,
145210,,-7052.666666666667,
019680,-298.0,-142.0,9.33
019685,-298.0,-142.0,9.33
006370,,-1340.3333333333333,
008060,,1239.6666666666667,
00806K,,1239.6666666666667,
353200,598.0,485.5,7.44
35320K,598.0,485.5,7.44
000490,1777.0,797.3333333333334,
008110,,508.3333333333333,
005750,,32.333333333333336,
006570,,-526.6666666666666,
001680,2210.0,3483.6666666666665,5.69
001685,2210.0,3483.6666666666665,5.69
084690,,1919.0,
084695,,1919.0,
128820,,-181.66666666666666,
117580,,473.6666666666667,
016710,,1508.6666666666667,
003540,2138.0,3301.3333333333335,
003547,2138.0,3301.3333333333335,
003545,2138.0,3301.3333333333335,
009190,,156.33333333333334,
014160,,74.66666666666667,
047040,1275.0,783.6666666666666,2.57
