,추정EPS(2023),EPS(3년 평균),EV/EVIBTA
241590,-89.0,528.3333333333334,9.27
006060,,567.6666666666666,
013520,,-347.6666666666667,
010690,2703.0,-221.66666666666666,3.71
133820,,-233.0,
010660,,-80.33333333333333,
000850,,3224.6666666666665,
016580,1398.0,1231.6666666666667,6.45
032560,,1289.6666666666667,
004800,1076.0,7700.0,12.41
094280,,1018.3333333333334,
298040,16644.0,1735.0,7.53
298050,18061.0,13452.0,8.22
298020,23994.0,77042.66666666667,6.16
298000,-85776.0,14066.666666666666,26.82
093370,-220.0,146.33333333333334,48.69
081660,2141.0,3507.6666666666665,6.32
005870,,645.0,
079980,,826.6666666666666,
005010,,268.0,
000540,,630.3333333333334,
000545,,630.3333333333334,
003280,,-1437.6666666666667,
