ticker,price,시가총액,sector1,sector2,PER_E,FCF,부채비율,ROE_E,ROA_E,EPS_E,EPS_M,EV/EBITDA_E,S,FCF_Margin,FCF_Margin(%)
267270,49100,967308936300,기계,기계,19.32,541.0,90.79,14.05,6.08,11271.0,1811.0,3.06,9287.0,0.05825347259610208,5.825347259610208
089860,26700,978129482100,서비스업,도로와철도운송,13.67,1246.0,394.94,9.91,1.88,3660.0,2108.0,3.67,6873.0,0.1812891022843009,18.12891022843009
103140,35750,1001867938500,철강금속,비철금속,21.64,-792.0,76.8,8.77,4.83,5948.0,3958.6666666666665,5.19,9308.0,-0.08508809626128062,-8.508809626128063
294870,15270,1006404929100,건설업,건설,9.47,-1489.0,130.46,5.55,2.23,2447.0,4838.0,8.18,10332.0,-0.1441153697251258,-14.41153697251258
009900,19230,1009000657590,운수장비,자동차부품,9.78,166.0,98.3,34.5,16.01,3053.0,-133.0,3.64,3947.0,0.04205725867747656,4.205725867747656
000210,48500,1016360374000,화학,화학,38.69,2153.0,166.13,-4.29,-1.31,-7348.0,21626.0,10.82,12644.0,0.17027839291363492,17.02783929136349
006650,166000,1079000000000,화학,화학,38.69,419.0,18.44,-1.58,-1.16,-4491.0,19667.666666666668,8.96,6662.0,0.06289402581807266,6.289402581807265
161890,47950,1097152581000,화학,화장품,66.38,234.0,99.91,9.77,2.95,2973.0,3284.333333333333,8.15,5164.0,0.0453137103020914,4.53137103020914
093370,11710,1104863137840,화학,화학,38.69,-309.0,130.59,-5.9,-4.03,-220.0,146.33333333333334,48.69,1239.0,-0.24939467312348668,-24.93946731234867
001120,30500,1182180000000,유통업,무역회사와판매업체,11.86,1968.0,170.18,11.11,4.77,6796.0,5815.666666666667,2.47,36594.0,0.05377930808329234,5.377930808329234
120110,43850,1206712140350,화학,화학,38.69,-453.0,108.69,2.98,1.42,2589.0,4755.666666666667,7.86,11833.0,-0.03828276852869095,-3.8282768528690947
069960,52100,1219267176100,유통업,백화점과일반상점,16.34,1816.0,88.56,3.86,1.85,7684.0,6464.333333333333,4.51,10042.0,0.18084047002589126,18.084047002589127
280360,130700,1233098821800,음식료품,식품,10.81,791.0,97.27,4.78,2.33,10475.0,5919.0,5.52,10865.0,0.0728025770823746,7.28025770823746
