,종목코드,S
327,001520,1939.0
328,001527,1939.0
329,084670,305.0
330,082640,7058.0
331,001525,1939.0
332,008970,597.0
333,092780,1076.0
334,049770,12075.0
335,018500,1377.0
336,006040,23843.0
337,030720,399.0
338,014820,3152.0
339,014825,3152.0
340,111380,
341,163560,887.0
342,004890,1125.0
343,002690,389.0
344,000020,875.0
345,000150,45388.0
346,000157,45388.0
347,454910,125.0
348,241560,23451.0
349,034020,41550.0
350,000155,45388.0
351,336260,456.0
352,33626K,456.0
353,33626L,456.0
354,016740,1805.0
355,192650,2770.0
356,024090,537.0
357,003160,577.0
358,092200,1735.0
359,377190,시가총액
360,013570,2923.0
361,210540,1035.0
362,115390,1165.0
363,032350,968.0
364,089860,6873.0
365,330590,시가총액
366,000400,4928.0
367,023530,37391.0
368,020150,2177.0
369,280360,10865.0
370,004000,4012.0
371,286940,2949.0
372,004990,40031.0
373,00499K,40031.0
374,005300,8304.0
375,005305,8304.0
376,011170,48157.0
377,071840,7259.0
378,027740,921.0
379,357430,시가총액
380,001080,378.0
381,088980,시가총액
382,094800,시가총액
383,138040,127507.0
384,090370,51.0
385,017180,432.0
386,009900,3947.0
387,012690,315.0
388,005360,314.0
389,204210,시가총액
390,009680,592.0
391,009580,1761.0
392,009200,2983.0
393,033920,358.0
394,008420,394.0
395,025560,86.0
396,007120,24.0
397,396690,시가총액
398,357250,시가총액
399,085620,8046.0
400,006800,45727.0
401,00680K,45727.0
402,006805,45727.0
403,002840,1058.0
404,268280,1125.0
405,107590,1112.0
406,134380,551.0
407,003650,940.0
408,377740,217.0
409,003610,304
410,001340,582.0
411,035150,1160.0
412,002410,290.0
413,007210,1581.0
414,002760,116.0
415,003850,2083.0
416,000890,262.0
417,003000,203.0
418,001270,1566.0
419,001275,1566.0
420,026940,428.0
421,011390,332.0
422,005030,649.0
423,002070,504.0
424,100220,494.0
425,090460,4561.0
426,030790,15.0
427,005180,4342.0
428,003960,5465.0
429,008040,1733.0
430,007160,1585.0
431,014710,478.0
432,006090,1060.0
433,001470,1290.0
434,448730,시가총액
435,006400,59481.0
436,006405,59481.0
437,006660,295.0
438,028260,109712.0
439,02826K,109712.0
440,207940,10340.0
441,032830,75053.0
442,018260,32081.0
443,028050,24781.0
444,009150,23609.0
445,009155,23609.0
446,005930,674047.0
447,005935,674047.0
448,001360,117.0
449,010140,20254.0
450,016360,31296.0
451,068290,119.0
452,029780,10220.0
453,000810,52999.0
454,000815,52999.0
455,006110,671.0
456,145990,6627.0
457,145995,6627.0
458,003230,3352.0
459,002170,406.0
460,272550,1209.0
461,000070,7994.0
462,000075,7994.0
463,003720,319.0
464,002810,1212.0
465,005680,426.0
466,023000,928.0
467,004380,785.0
468,002450,457.0
469,004440,469.0
470,000520,516.0
471,009770,421.0
472,005500,718.0
473,004690,9540.0
474,010960,854.0
475,004450,397.0
476,009470,468.0
477,011230,82.0
478,001820,747.0
479,000390,1548.0
480,001290,449.0
481,041650,1501.0
482,075180,361.0
483,007540,1044.0
484,248170,1044.0
485,007860,10296.0
486,200880,9196.0
487,017390,1845.0
488,004410,167.0
489,004415,167.0
490,021050,546.0
491,008490,1523.0
492,007610,248.0
493,136490,4752.0
494,014910,85.0
495,014915,85.0
496,003080,66.0
497,004980,2588.0
498,004985,2588.0
499,011300,142.0
500,000180,371.0
501,002420,74.0
502,004360,3029.0
503,004365,3029.0
504,004490,4091.0
505,001430,9604.0
506,306200,4234.0
507,003030,9420.0
508,019440,2569.0
509,058650,15206.0
510,013000,99.0
511,091090,386.0
512,021820,369.0
513,067830,297.0
514,033530,4304.0
515,075580,820.0
516,068270,6723.0
517,336370,1112.0
518,33637K,1112.0
519,33637L,1112.0
520,248070,5291.0
521,004430,2479.0
522,126720,714.0
523,017550,477.0
524,053210,2605.0
525,026890,179.0
526,134790,471.0
527,016590,1592.0
528,029530,987.0
529,004970,1188.0
530,011930,1295.0
531,005390,3200.0
532,004170,14975.0
533,035510,1480.0
534,034300,3208.0
535,031430,3158.0
536,031440,3930.0
537,006880,378.0
538,005800,548.0
539,001720,6476.0
540,001725,6476.0
541,009270,2329.0
542,002700,442.0
543,002870,254.0
544,019170,491.0
545,019175,491.0
546,404990,시가총액
547,293940,시가총액
548,055550,92630.0
549,004080,274.0
550,102280,222.0
551,003410,4204.0
552,004770,32.0
553,403550,1127.0
554,004920,119.0
555,112610,3805.0
556,308170,1056.0
557,008700,1046.0
558,002790,9633.0
559,00279K,9633.0
560,002795,9633.0
561,090430,8888.0
562,090435,8888.0
563,002030,5166.0
564,183190,2884.0
565,002310,2259.0
